pid,block,technique,time,distance_num,distance,overshoot_number,overshoot_distance,longest_overshoot,number_technique_used,number_normal_used,total_interaction
P12,3,ForceScroll,4110,9944.5,medium,0,0,0,1,2,3
P12,3,ForceScroll,3002,3944.5,short,0,0,0,1,0,1
P12,3,ForceScroll,6058,15055.5,long,0,0,0,2,0,2
P12,3,ForceScroll,2631,4055.5,short,0,0,0,1,0,1
P12,1,Traditional,8854,14944.5,long,0,0,0,0,35,35
P12,1,Traditional,4007,4055.5,short,0,0,0,0,6,6
P12,1,Traditional,5148,15055.5,long,0,0,0,0,10,10
P12,1,Traditional,4499,3944.5,short,0,0,0,0,7,7
P12,1,Traditional,6052,9944.5,medium,1,2789.5,2789.5,0,24,24
P12,2,Traditional,5801,15055.5,long,0,0,0,0,21,21
P12,2,Traditional,3876,14944.5,long,0,0,0,0,13,13
P12,2,Traditional,5548,9944.5,medium,1,363.5,363.5,0,23,23
P12,2,Traditional,4685,4055.5,short,1,119.5,119.5,0,12,12
P12,2,Traditional,3492,10055.5,medium,0,0,0,0,5,5
P12,3,Traditional,4466,10055.5,medium,1,1025.5,1025.5,0,12,12
P12,3,Traditional,5259,9944.5,medium,0,0,0,0,17,17
P12,3,Traditional,2343,3944.5,short,0,0,0,0,4,4
P12,3,Traditional,3519,15055.5,long,0,0,0,0,12,12
P12,3,Traditional,2717,4055.5,short,0,0,0,0,5,5
P2,1,ForcePress,3510,4055.5,short,0,0,0,1,0,1
P2,1,ForcePress,2131,3944.5,short,0,0,0,1,0,1
P2,1,ForcePress,4438,14944.5,long,1,241.5,241.5,2,2,4
P2,1,ForcePress,2483,10055.5,medium,0,0,0,1,0,1
P2,1,ForcePress,3590,15055.5,long,0,0,0,1,7,8
P2,2,ForcePress,2960,9944.5,medium,0,0,0,1,0,1
P2,2,ForcePress,2823,15055.5,long,0,0,0,1,0,1
P2,2,ForcePress,2631,10055.5,medium,0,0,0,1,0,1
P2,2,ForcePress,3064,3944.5,short,1,466.5,466.5,3,1,4
P2,3,ForcePress,3232,10055.5,medium,0,0,0,1,0,1
P2,3,ForcePress,3889,9944.5,medium,0,0,0,2,0,2
P2,3,ForcePress,3492,3944.5,short,0,0,0,3,1,4
P2,3,ForcePress,3112,15055.5,long,0,0,0,1,0,1
P2,3,ForcePress,2849,4055.5,short,0,0,0,0,2,2
P2,1,ForceScroll,3867,4055.5,short,0,0,0,0,3,3
P2,1,ForceScroll,4495,3944.5,short,0,0,0,1,0,1
P2,1,ForceScroll,8378,14944.5,long,1,591.5,591.5,2,3,5
P2,1,ForceScroll,5251,10055.5,medium,0,0,0,1,2,3
P2,1,ForceScroll,6828,15055.5,long,1,635.5,635.5,2,3,5
P2,2,ForceScroll,6313,9944.5,medium,0,0,0,1,3,4
P2,2,ForceScroll,5358,15055.5,long,0,0,0,2,5,7
P2,2,ForceScroll,4433,10055.5,medium,0,0,0,1,3,4
P2,2,ForceScroll,6045,15055.5,long,0,0,0,3,1,4
P2,2,ForceScroll,2770,3944.5,short,0,0,0,1,1,2
P2,3,ForceScroll,4251,10055.5,medium,0,0,0,1,2,3
P2,3,ForceScroll,4598,9944.5,medium,0,0,0,1,3,4
P2,3,ForceScroll,2602,3944.5,short,0,0,0,0,2,2
P2,3,ForceScroll,5641,15055.5,long,1,518.5,518.5,1,7,8
P2,3,ForceScroll,2644,4055.5,short,0,0,0,0,4,4
P2,1,Traditional,4439,4055.5,short,0,0,0,0,5,5
P2,1,Traditional,3331,3944.5,short,0,0,0,0,6,6
P2,1,Traditional,3705,14944.5,long,1,214.5,214.5,0,9,9
P2,1,Traditional,3934,10055.5,medium,0,0,0,0,9,9
P2,1,Traditional,3492,15055.5,long,0,0,0,0,9,9
P2,2,Traditional,4178,9944.5,medium,0,0,0,0,5,5
P2,2,Traditional,4171,15055.5,long,0,0,0,0,7,7
P2,2,Traditional,3243,10055.5,medium,0,0,0,0,4,4
P2,2,Traditional,3769,15055.5,long,1,1078.5,1078.5,0,8,8
P2,2,Traditional,3187,3944.5,short,0,0,0,0,7,7
P2,3,Traditional,2769,10055.5,medium,0,0,0,0,6,6
P2,3,Traditional,2887,9944.5,medium,0,0,0,0,6,6
P2,3,Traditional,2421,3944.5,short,0,0,0,0,11,11
P2,3,Traditional,3391,15055.5,long,0,0,0,0,8,8
P2,3,Traditional,3165,4055.5,short,1,58.5,58.5,0,5,5
P3,1,ForcePress,4915,3944.5,short,0,0,0,6,0,6
P3,1,ForcePress,5515,10055.5,medium,0,0,0,4,0,4
P3,1,ForcePress,4735,4055.5,short,0,0,0,4,0,4
P3,1,ForcePress,5131,9944.5,medium,0,0,0,3,0,3
P3,1,ForcePress,6764,14944.5,long,0,0,0,3,1,4
P3,2,ForcePress,3991,10055.5,medium,0,0,0,3,0,3
P3,2,ForcePress,6034,9944.5,medium,0,0,0,5,0,5
P3,2,ForcePress,3955,3944.5,short,1,74.5,74.5,3,1,4
P3,2,ForcePress,6473,15055.5,long,0,0,0,4,0,4
P3,2,ForcePress,3053,4055.5,short,0,0,0,3,0,3
P3,3,ForcePress,6450,15055.5,long,0,0,0,3,0,3
P3,3,ForcePress,4898,14944.5,long,0,0,0,2,0,2
P3,3,ForcePress,5100,9944.5,medium,0,0,0,3,0,3
P3,3,ForcePress,3148,4055.5,short,0,0,0,4,0,4
P3,3,ForcePress,3325,10055.5,medium,0,0,0,2,0,2
P3,1,ForceScroll,5313,3944.5,short,1,254.5,254.5,1,1,2
P3,1,ForceScroll,8933,10055.5,medium,0,0,0,4,0,4
P3,1,ForceScroll,6945,4055.5,short,1,833.5,833.5,3,2,5
P3,1,ForceScroll,9114,9944.5,medium,0,0,0,3,3,6
P3,1,ForceScroll,8995,14944.5,long,0,0,0,2,10,12
P3,2,ForceScroll,10531,10055.5,medium,0,0,0,3,1,4
P3,2,ForceScroll,7782,9944.5,medium,0,0,0,1,3,4
P3,2,ForceScroll,3248,3944.5,short,0,0,0,1,0,1
P3,2,ForceScroll,15390,15055.5,long,1,438.5,438.5,2,5,7
P3,2,ForceScroll,4788,4055.5,short,1,627.5,627.5,1,7,8
P3,3,ForceScroll,13728,15055.5,long,1,355.5,355.5,4,1,5
P3,3,ForceScroll,14177,14944.5,long,1,270.5,270.5,4,1,5
P3,3,ForceScroll,9990,9944.5,medium,1,1310.5,1310.5,2,3,5
P3,3,ForceScroll,4584,4055.5,short,1,918.5,918.5,1,2,3
P3,3,ForceScroll,15462,10055.5,medium,1,900.5,900.5,4,2,6
P3,1,Traditional,3583,3944.5,short,1,265.5,265.5,0,6,6
P3,1,Traditional,3162,10055.5,medium,1,507.5,507.5,0,6,6
P3,1,Traditional,3082,4055.5,short,0,0,0,0,5,5
P3,1,Traditional,4682,9944.5,medium,0,0,0,0,6,6
P3,1,Traditional,3316,14944.5,long,1,442.5,442.5,0,10,10
P3,2,Traditional,2873,10055.5,medium,0,0,0,0,4,4
P3,2,Traditional,3204,9944.5,medium,1,327.5,327.5,0,13,13
P3,2,Traditional,2720,3944.5,short,0,0,0,0,12,12
P3,2,Traditional,4099,15055.5,long,1,894.5,894.5,0,7,7
P3,2,Traditional,5038,4055.5,short,1,2307.5,2307.5,0,8,8
P3,3,Traditional,3116,15055.5,long,0,0,0,0,5,5
P3,3,Traditional,3089,14944.5,long,1,642.5,642.5,0,5,5
P3,3,Traditional,4713,9944.5,medium,0,0,0,0,6,6
P3,3,Traditional,2686,4055.5,short,1,729.5,729.5,0,4,4
P3,3,Traditional,3381,10055.5,medium,0,0,0,0,5,5
P4,1,ForcePress,2753,3944.5,short,1,284.5,284.5,1,1,2
P4,1,ForcePress,3585,10055.5,medium,0,0,0,1,0,1
P4,1,ForcePress,2496,4055.5,short,0,0,0,1,0,1
P4,1,ForcePress,2849,9944.5,medium,0,0,0,1,0,1
P4,1,ForcePress,2986,14944.5,long,0,0,0,1,0,1
P4,2,ForcePress,2709,9944.5,medium,0,0,0,1,0,1
P4,2,ForcePress,3409,15055.5,long,1,532.5,532.5,1,2,3
P4,2,ForcePress,2305,10055.5,medium,0,0,0,1,0,1
P4,2,ForcePress,2679,15055.5,long,0,0,0,1,0,1
P4,2,ForcePress,4206,3944.5,short,1,1390.5,1390.5,2,3,5
P4,3,ForcePress,2793,4055.5,short,1,59.5,59.5,1,1,2
P4,3,ForcePress,2076,3944.5,short,0,0,0,1,0,1
P4,3,ForcePress,3731,14944.5,long,0,0,0,1,0,1
P4,3,ForcePress,2589,10055.5,medium,0,0,0,1,0,1
P4,3,ForcePress,2884,15055.5,long,0,0,0,1,0,1
P4,1,ForceScroll,4126,3944.5,short,1,2559.5,2559.5,1,6,7
P4,1,ForceScroll,5635,10055.5,medium,1,405.5,405.5,2,1,3
P4,1,ForceScroll,6551,4055.5,short,0,0,0,3,11,14
P4,1,ForceScroll,4550,9944.5,medium,1,428.5,428.5,2,1,3
